"Statistic","Year","Local Government District","Broad Industry Group","Employee Size Band","0 to 99","100 to 499","500 to 999","1000 to 4999","5000+","All"
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Education","1 to 9",10,15,NA,NA,NA,25
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Education","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Education","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Education","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Education","All",15,15,NA,5,NA,40
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Health","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Health","1 to 9",30,125,10,NA,NA,165
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Health","10 to 49",NA,10,35,15,NA,60
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Health","50 to 249",NA,NA,NA,5,NA,10
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Health","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Health","All",35,140,45,20,NA,240
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Arts, Entertainment, Recreation and Other Services","0",30,5,NA,NA,NA,40
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Arts, Entertainment, Recreation and Other Services","1 to 9",225,140,NA,NA,NA,370
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Arts, Entertainment, Recreation and Other Services","10 to 49",NA,10,15,NA,NA,30
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Arts, Entertainment, Recreation and Other Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Arts, Entertainment, Recreation and Other Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","Arts, Entertainment, Recreation and Other Services","All",260,160,15,NA,NA,445
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","All Industries","0",2510,575,15,10,NA,3110
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","All Industries","1 to 9",1210,2215,370,190,15,4000
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","All Industries","10 to 49",15,115,160,285,50,625
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","All Industries","50 to 249",NA,NA,NA,30,75,110
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","All Industries","250+",NA,NA,NA,NA,25,25
"Number of Businesses",2013,"Armagh City, Banbridge and Craigavon","All Industries","All",3730,2905,545,515,170,7870
"Number of Businesses",2013,"Belfast","Agriculture, Forestry & Fishing","0",20,NA,NA,NA,NA,20
"Number of Businesses",2013,"Belfast","Agriculture, Forestry & Fishing","1 to 9",NA,10,NA,NA,NA,15
"Number of Businesses",2013,"Belfast","Agriculture, Forestry & Fishing","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Belfast","Agriculture, Forestry & Fishing","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Belfast","Agriculture, Forestry & Fishing","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Belfast","Agriculture, Forestry & Fishing","All",20,10,NA,NA,NA,35
"Number of Businesses",2013,"Belfast","Production","0",25,10,NA,NA,NA,35
"Number of Businesses",2013,"Belfast","Production","1 to 9",85,160,30,20,5,295
"Number of Businesses",2013,"Belfast","Production","10 to 49",NA,5,15,30,20,70
"Number of Businesses",2013,"Belfast","Production","50 to 249",NA,NA,NA,NA,20,25
"Number of Businesses",2013,"Belfast","Production","250+",NA,NA,NA,NA,5,5
"Number of Businesses",2013,"Belfast","Production","All",110,170,40,55,55,435
"Number of Businesses",2013,"Belfast","Construction","0",105,40,NA,NA,NA,160
"Number of Businesses",2013,"Belfast","Construction","1 to 9",185,285,75,60,15,620
"Number of Businesses",2013,"Belfast","Construction","10 to 49",NA,10,10,45,10,75
"Number of Businesses",2013,"Belfast","Construction","50 to 249",NA,NA,NA,NA,10,15
"Number of Businesses",2013,"Belfast","Construction","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Belfast","Construction","All",295,335,90,110,40,870
"Number of Businesses",2013,"Belfast","Motor Trades","0",20,15,5,NA,NA,35
"Number of Businesses",2013,"Belfast","Motor Trades","1 to 9",20,90,15,15,NA,140
"Number of Businesses",2013,"Belfast","Motor Trades","10 to 49",NA,NA,NA,10,10,20
"Number of Businesses",2013,"Belfast","Motor Trades","50 to 249",NA,NA,NA,NA,5,5
"Number of Businesses",2013,"Belfast","Motor Trades","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Belfast","Motor Trades","All",35,105,20,25,15,205
"Number of Businesses",2013,"Belfast","Wholesale","0",35,25,NA,NA,NA,65
"Number of Businesses",2013,"Belfast","Wholesale","1 to 9",55,115,70,75,10,325
"Number of Businesses",2013,"Belfast","Wholesale","10 to 49",NA,NA,NA,55,45,110
"Number of Businesses",2013,"Belfast","Wholesale","50 to 249",NA,NA,NA,NA,20,25
"Number of Businesses",2013,"Belfast","Wholesale","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Belfast","Wholesale","All",90,145,80,130,80,525
"Number of Businesses",2013,"Belfast","Retail","0",85,65,NA,NA,NA,150
"Number of Businesses",2013,"Belfast","Retail","1 to 9",120,430,140,55,NA,745
