"Statistic","Year","Local Government District","Broad Industry Group","Employee Size Band","0 to 99","100 to 499","500 to 999","1000 to 4999","5000+","All"
"Number of Businesses",2013,"Belfast","Retail","10 to 49",NA,15,30,135,15,195
"Number of Businesses",2013,"Belfast","Retail","50 to 249",NA,NA,NA,5,35,45
"Number of Businesses",2013,"Belfast","Retail","250+",NA,NA,NA,NA,20,20
"Number of Businesses",2013,"Belfast","Retail","All",210,510,170,195,70,1155
"Number of Businesses",2013,"Belfast","Transport & Storage (inc Postal)","0",35,5,NA,NA,NA,40
"Number of Businesses",2013,"Belfast","Transport & Storage (inc Postal)","1 to 9",35,70,20,15,5,145
"Number of Businesses",2013,"Belfast","Transport & Storage (inc Postal)","10 to 49",NA,10,10,15,10,50
"Number of Businesses",2013,"Belfast","Transport & Storage (inc Postal)","50 to 249",NA,NA,NA,NA,5,10
"Number of Businesses",2013,"Belfast","Transport & Storage (inc Postal)","250+",NA,NA,NA,NA,5,5
"Number of Businesses",2013,"Belfast","Transport & Storage (inc Postal)","All",75,80,30,35,30,250
"Number of Businesses",2013,"Belfast","Accommodation & Food Services","0",15,5,NA,NA,NA,20
"Number of Businesses",2013,"Belfast","Accommodation & Food Services","1 to 9",165,290,15,NA,NA,475
"Number of Businesses",2013,"Belfast","Accommodation & Food Services","10 to 49",NA,80,65,40,NA,185
"Number of Businesses",2013,"Belfast","Accommodation & Food Services","50 to 249",NA,NA,NA,35,5,40
"Number of Businesses",2013,"Belfast","Accommodation & Food Services","250+",NA,NA,NA,NA,10,10
"Number of Businesses",2013,"Belfast","Accommodation & Food Services","All",185,375,80,75,20,735
"Number of Businesses",2013,"Belfast","Information & Communication","0",25,5,NA,NA,NA,35
"Number of Businesses",2013,"Belfast","Information & Communication","1 to 9",185,160,25,25,NA,395
"Number of Businesses",2013,"Belfast","Information & Communication","10 to 49",NA,10,10,40,5,75
"Number of Businesses",2013,"Belfast","Information & Communication","50 to 249",NA,NA,NA,NA,15,15
"Number of Businesses",2013,"Belfast","Information & Communication","250+",NA,NA,NA,NA,10,10
"Number of Businesses",2013,"Belfast","Information & Communication","All",215,180,40,65,30,525
"Number of Businesses",2013,"Belfast","Finance & Insurance","0",80,NA,NA,NA,NA,85
"Number of Businesses",2013,"Belfast","Finance & Insurance","1 to 9",95,105,20,10,NA,230
"Number of Businesses",2013,"Belfast","Finance & Insurance","10 to 49",NA,NA,10,25,10,45
"Number of Businesses",2013,"Belfast","Finance & Insurance","50 to 249",NA,NA,NA,NA,15,15
"Number of Businesses",2013,"Belfast","Finance & Insurance","250+",NA,NA,NA,NA,10,10
"Number of Businesses",2013,"Belfast","Finance & Insurance","All",175,105,30,35,40,385
"Number of Businesses",2013,"Belfast","Property","0",110,40,NA,NA,NA,155
"Number of Businesses",2013,"Belfast","Property","1 to 9",115,155,25,20,10,320
"Number of Businesses",2013,"Belfast","Property","10 to 49",NA,5,5,20,NA,35
"Number of Businesses",2013,"Belfast","Property","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Belfast","Property","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Belfast","Property","All",225,205,35,40,15,515
"Number of Businesses",2013,"Belfast","Professional, Scientific & Technical","0",230,170,10,NA,NA,410
"Number of Businesses",2013,"Belfast","Professional, Scientific & Technical","1 to 9",355,545,100,25,NA,1025
"Number of Businesses",2013,"Belfast","Professional, Scientific & Technical","10 to 49",NA,20,55,100,10,185
"Number of Businesses",2013,"Belfast","Professional, Scientific & Technical","50 to 249",NA,NA,NA,15,15,35
"Number of Businesses",2013,"Belfast","Professional, Scientific & Technical","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Belfast","Professional, Scientific & Technical","All",590,735,165,140,30,1660
"Number of Businesses",2013,"Belfast","Business Administration and Support Services","0",25,10,NA,NA,NA,30
"Number of Businesses",2013,"Belfast","Business Administration and Support Services","1 to 9",85,160,20,20,NA,280
"Number of Businesses",2013,"Belfast","Business Administration and Support Services","10 to 49",NA,15,5,20,5,55
"Number of Businesses",2013,"Belfast","Business Administration and Support Services","50 to 249",NA,5,5,15,5,35
"Number of Businesses",2013,"Belfast","Business Administration and Support Services","250+",NA,NA,NA,5,15,20
"Number of Businesses",2013,"Belfast","Business Administration and Support Services","All",110,190,35,60,25,420
"Number of Businesses",2013,"Belfast","Public Administration and Defence","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Belfast","Public Administration and Defence","1 to 9",NA,NA,NA,NA,NA,5
"Number of Businesses",2013,"Belfast","Public Administration and Defence","10 to 49",NA,NA,NA,NA,NA,10
"Number of Businesses",2013,"Belfast","Public Administration and Defence","50 to 249",NA,NA,NA,5,NA,10
"Number of Businesses",2013,"Belfast","Public Administration and Defence","250+",NA,NA,NA,NA,10,10
"Number of Businesses",2013,"Belfast","Public Administration and Defence","All",NA,10,NA,10,10,35
"Number of Businesses",2013,"Belfast","Education","0",NA,NA,NA,NA,NA,5
"Number of Businesses",2013,"Belfast","Education","1 to 9",35,50,5,NA,NA,90
"Number of Businesses",2013,"Belfast","Education","10 to 49",5,NA,15,10,NA,35
"Number of Businesses",2013,"Belfast","Education","50 to 249",NA,NA,NA,10,10,25
"Number of Businesses",2013,"Belfast","Education","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Belfast","Education","All",45,60,20,25,15,160
"Number of Businesses",2013,"Belfast","Health","0",5,NA,NA,NA,NA,5
"Number of Businesses",2013,"Belfast","Health","1 to 9",85,345,35,NA,NA,470
"Number of Businesses",2013,"Belfast","Health","10 to 49",25,20,125,60,NA,230
"Number of Businesses",2013,"Belfast","Health","50 to 249",10,10,5,35,10,65
"Number of Businesses",2013,"Belfast","Health","250+",NA,NA,NA,5,10,15
"Number of Businesses",2013,"Belfast","Health","All",120,375,170,100,15,785
"Number of Businesses",2013,"Belfast","Arts, Entertainment, Recreation and Other Services","0",40,5,NA,NA,NA,50
"Number of Businesses",2013,"Belfast","Arts, Entertainment, Recreation and Other Services","1 to 9",340,355,25,5,NA,725
"Number of Businesses",2013,"Belfast","Arts, Entertainment, Recreation and Other Services","10 to 49",10,40,35,35,NA,120
"Number of Businesses",2013,"Belfast","Arts, Entertainment, Recreation and Other Services","50 to 249",NA,NA,NA,10,5,25
"Number of Businesses",2013,"Belfast","Arts, Entertainment, Recreation and Other Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Belfast","Arts, Entertainment, Recreation and Other Services","All",395,400,60,55,10,925
"Number of Businesses",2013,"Belfast","All Industries","0",860,405,30,10,NA,1305
"Number of Businesses",2013,"Belfast","All Industries","1 to 9",1955,3325,615,345,60,6310
"Number of Businesses",2013,"Belfast","All Industries","10 to 49",60,240,400,645,150,1495
"Number of Businesses",2013,"Belfast","All Industries","50 to 249",15,20,20,150,180,385
"Number of Businesses",2013,"Belfast","All Industries","250+",NA,NA,NA,10,110,130
"Number of Businesses",2013,"Belfast","All Industries","All",2895,3995,1070,1160,505,9620
"Number of Businesses",2013,"Causeway Coast and Glens","Agriculture, Forestry & Fishing","0",1190,185,NA,NA,NA,1375
"Number of Businesses",2013,"Causeway Coast and Glens","Agriculture, Forestry & Fishing","1 to 9",50,345,60,5,NA,465
"Number of Businesses",2013,"Causeway Coast and Glens","Agriculture, Forestry & Fishing","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2013,"Causeway Coast and Glens","Agriculture, Forestry & Fishing","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Agriculture, Forestry & Fishing","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Agriculture, Forestry & Fishing","All",1245,535,65,10,NA,1850
"Number of Businesses",2013,"Causeway Coast and Glens","Production","0",60,10,NA,NA,NA,75
"Number of Businesses",2013,"Causeway Coast and Glens","Production","1 to 9",60,75,20,10,NA,165
"Number of Businesses",2013,"Causeway Coast and Glens","Production","10 to 49",NA,5,10,20,NA,40
"Number of Businesses",2013,"Causeway Coast and Glens","Production","50 to 249",NA,NA,NA,NA,10,10
"Number of Businesses",2013,"Causeway Coast and Glens","Production","250+",NA,NA,NA,NA,5,5
"Number of Businesses",2013,"Causeway Coast and Glens","Production","All",125,90,30,30,20,295
"Number of Businesses",2013,"Causeway Coast and Glens","Construction","0",245,70,NA,NA,NA,320
"Number of Businesses",2013,"Causeway Coast and Glens","Construction","1 to 9",190,260,60,20,NA,530
"Number of Businesses",2013,"Causeway Coast and Glens","Construction","10 to 49",NA,NA,10,20,NA,35
"Number of Businesses",2013,"Causeway Coast and Glens","Construction","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Construction","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Construction","All",435,330,70,40,10,885
"Number of Businesses",2013,"Causeway Coast and Glens","Motor Trades","0",50,20,5,NA,NA,75
"Number of Businesses",2013,"Causeway Coast and Glens","Motor Trades","1 to 9",20,55,20,15,NA,110
"Number of Businesses",2013,"Causeway Coast and Glens","Motor Trades","10 to 49",NA,NA,NA,NA,5,10
"Number of Businesses",2013,"Causeway Coast and Glens","Motor Trades","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Motor Trades","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Motor Trades","All",65,80,30,20,5,200
"Number of Businesses",2013,"Causeway Coast and Glens","Wholesale","0",35,35,NA,NA,NA,75
"Number of Businesses",2013,"Causeway Coast and Glens","Wholesale","1 to 9",20,50,20,30,NA,120
"Number of Businesses",2013,"Causeway Coast and Glens","Wholesale","10 to 49",NA,NA,NA,15,5,20
"Number of Businesses",2013,"Causeway Coast and Glens","Wholesale","50 to 249",NA,NA,NA,NA,5,5
"Number of Businesses",2013,"Causeway Coast and Glens","Wholesale","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Wholesale","All",55,80,25,50,15,220
"Number of Businesses",2013,"Causeway Coast and Glens","Retail","0",65,40,NA,NA,NA,110
"Number of Businesses",2013,"Causeway Coast and Glens","Retail","1 to 9",50,180,50,30,NA,315
"Number of Businesses",2013,"Causeway Coast and Glens","Retail","10 to 49",NA,NA,10,45,5,70
"Number of Businesses",2013,"Causeway Coast and Glens","Retail","50 to 249",NA,NA,NA,5,5,10
"Number of Businesses",2013,"Causeway Coast and Glens","Retail","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Retail","All",115,225,65,85,10,500
"Number of Businesses",2013,"Causeway Coast and Glens","Transport & Storage (inc Postal)","0",25,15,NA,NA,NA,40
"Number of Businesses",2013,"Causeway Coast and Glens","Transport & Storage (inc Postal)","1 to 9",25,45,10,NA,NA,80
"Number of Businesses",2013,"Causeway Coast and Glens","Transport & Storage (inc Postal)","10 to 49",NA,5,NA,10,NA,20
"Number of Businesses",2013,"Causeway Coast and Glens","Transport & Storage (inc Postal)","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Transport & Storage (inc Postal)","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Transport & Storage (inc Postal)","All",50,65,10,15,NA,140
"Number of Businesses",2013,"Causeway Coast and Glens","Accommodation & Food Services","0",10,5,NA,NA,NA,20
"Number of Businesses",2013,"Causeway Coast and Glens","Accommodation & Food Services","1 to 9",95,145,NA,NA,NA,245
"Number of Businesses",2013,"Causeway Coast and Glens","Accommodation & Food Services","10 to 49",NA,35,20,10,NA,65
"Number of Businesses",2013,"Causeway Coast and Glens","Accommodation & Food Services","50 to 249",NA,NA,NA,10,NA,10
"Number of Businesses",2013,"Causeway Coast and Glens","Accommodation & Food Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Accommodation & Food Services","All",110,185,25,20,NA,340
"Number of Businesses",2013,"Causeway Coast and Glens","Information & Communication","0",15,NA,NA,NA,NA,15
"Number of Businesses",2013,"Causeway Coast and Glens","Information & Communication","1 to 9",20,25,NA,NA,NA,45
"Number of Businesses",2013,"Causeway Coast and Glens","Information & Communication","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Information & Communication","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Information & Communication","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Information & Communication","All",35,30,NA,NA,NA,65
"Number of Businesses",2013,"Causeway Coast and Glens","Finance & Insurance","0",10,NA,NA,NA,NA,10
"Number of Businesses",2013,"Causeway Coast and Glens","Finance & Insurance","1 to 9",10,15,NA,NA,NA,30
"Number of Businesses",2013,"Causeway Coast and Glens","Finance & Insurance","10 to 49",NA,NA,NA,5,NA,5
"Number of Businesses",2013,"Causeway Coast and Glens","Finance & Insurance","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Finance & Insurance","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Finance & Insurance","All",20,15,NA,10,NA,50
"Number of Businesses",2013,"Causeway Coast and Glens","Property","0",35,10,NA,NA,NA,40
"Number of Businesses",2013,"Causeway Coast and Glens","Property","1 to 9",30,35,5,NA,NA,80
"Number of Businesses",2013,"Causeway Coast and Glens","Property","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Property","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Property","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Property","All",65,50,5,NA,NA,125
"Number of Businesses",2013,"Causeway Coast and Glens","Professional, Scientific & Technical","0",35,10,NA,NA,NA,40
"Number of Businesses",2013,"Causeway Coast and Glens","Professional, Scientific & Technical","1 to 9",70,85,10,NA,NA,165
"Number of Businesses",2013,"Causeway Coast and Glens","Professional, Scientific & Technical","10 to 49",NA,NA,NA,10,NA,15
"Number of Businesses",2013,"Causeway Coast and Glens","Professional, Scientific & Technical","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Professional, Scientific & Technical","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Professional, Scientific & Technical","All",100,95,10,15,NA,220
"Number of Businesses",2013,"Causeway Coast and Glens","Business Administration and Support Services","0",60,10,NA,NA,NA,70
"Number of Businesses",2013,"Causeway Coast and Glens","Business Administration and Support Services","1 to 9",40,50,5,NA,NA,100
"Number of Businesses",2013,"Causeway Coast and Glens","Business Administration and Support Services","10 to 49",NA,NA,NA,NA,NA,10
"Number of Businesses",2013,"Causeway Coast and Glens","Business Administration and Support Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Business Administration and Support Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Business Administration and Support Services","All",100,65,10,5,NA,180
"Number of Businesses",2013,"Causeway Coast and Glens","Public Administration and Defence","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Public Administration and Defence","1 to 9",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Public Administration and Defence","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Public Administration and Defence","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Public Administration and Defence","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Public Administration and Defence","All",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Education","0",5,NA,NA,NA,NA,5
"Number of Businesses",2013,"Causeway Coast and Glens","Education","1 to 9",5,15,NA,NA,NA,20
"Number of Businesses",2013,"Causeway Coast and Glens","Education","10 to 49",NA,NA,NA,NA,NA,10
"Number of Businesses",2013,"Causeway Coast and Glens","Education","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Education","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Education","All",15,15,NA,5,NA,40
"Number of Businesses",2013,"Causeway Coast and Glens","Health","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Health","1 to 9",25,85,10,NA,NA,125
"Number of Businesses",2013,"Causeway Coast and Glens","Health","10 to 49",5,10,20,10,NA,45
"Number of Businesses",2013,"Causeway Coast and Glens","Health","50 to 249",NA,NA,NA,5,NA,5
"Number of Businesses",2013,"Causeway Coast and Glens","Health","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Health","All",35,95,30,15,NA,180
"Number of Businesses",2013,"Causeway Coast and Glens","Arts, Entertainment, Recreation and Other Services","0",10,NA,NA,NA,NA,15
"Number of Businesses",2013,"Causeway Coast and Glens","Arts, Entertainment, Recreation and Other Services","1 to 9",150,100,NA,NA,NA,255
"Number of Businesses",2013,"Causeway Coast and Glens","Arts, Entertainment, Recreation and Other Services","10 to 49",NA,10,10,NA,NA,25
"Number of Businesses",2013,"Causeway Coast and Glens","Arts, Entertainment, Recreation and Other Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Arts, Entertainment, Recreation and Other Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2013,"Causeway Coast and Glens","Arts, Entertainment, Recreation and Other Services","All",165,110,15,5,NA,295
"Number of Businesses",2013,"Causeway Coast and Glens","All Industries","0",1855,415,15,10,NA,2295
"Number of Businesses",2013,"Causeway Coast and Glens","All Industries","1 to 9",860,1560,280,135,10,2850
