"Statistic","Quarter","NI Major Port","Direction of flow","Other General Cargo","Dry Bulk","Liquid Bulk","Lo-Lo","Ro-Ro Freight","Ro-Ro Non-Freight","All"
"Total Units","2019Q3","Larne","Inwards",0,0,0,0,23.308,23.038,46.346
"Total Units","2019Q3","Larne","Outwards",0,0,0,0,22.06853397,22.05536651,44.12390047
"Total Units","2019Q3","Londonderry","Inwards",0,0,0,0,0,0,0
"Total Units","2019Q3","Londonderry","Outwards",0,0,0,0,0,0,0
"Total Units","2019Q3","Warrenpoint","Inwards",0,0,0,1.481725771,13.43628386,0,14.91800963
"Total Units","2019Q3","Warrenpoint","Outwards",0,0,0,1.536219679,12.83331907,0,14.36953875
"Total Units","2019Q4","Belfast","Inwards",0,0,0,16.10147433,71.451,46.066,133.6184743
"Total Units","2019Q4","Belfast","Outwards",0,0,0,15.97871912,72.08051355,34.4893203,122.548553
"Total Units","2019Q4","Kilroot Power Station Jetty","Inwards",0,0,0,0,0,0,0
"Total Units","2019Q4","Kilroot Power Station Jetty","Outwards",0,0,0,0,0,0,0
"Total Units","2019Q4","Larne","Inwards",0,0,0,0,25.982,12.699,38.681
"Total Units","2019Q4","Larne","Outwards",0,0,0,0,23.24950746,10.83217989,34.08168735
"Total Units","2019Q4","Londonderry","Inwards",0,0,0,0,0,0,0
"Total Units","2019Q4","Londonderry","Outwards",0,0,0,0,0,0,0
"Total Units","2019Q4","Warrenpoint","Inwards",0,0,0,2.215181638,12.80525772,1.818,16.83843936
"Total Units","2019Q4","Warrenpoint","Outwards",0,0,0,2.273501425,12.18471577,0.188641975,14.64685917
"Total Units","2020Q1","Belfast","Inwards",0,0,0,17.25445779,67.583,34.847,119.6844578
"Total Units","2020Q1","Belfast","Outwards",0,0,0,14.29349522,70.006,25.47707145,109.7765667
"Total Units","2020Q1","Kilroot Power Station Jetty","Inwards",0,0,0,0,0,0,0
"Total Units","2020Q1","Kilroot Power Station Jetty","Outwards",0,0,0,0,0,0,0
"Total Units","2020Q1","Larne","Inwards",0,0,0,0,25.572,8.325,33.897
"Total Units","2020Q1","Larne","Outwards",0,0,0,0,23.569,7.898,31.467
"Total Units","2020Q1","Londonderry","Inwards",0,0,0,0,0,0,0
"Total Units","2020Q1","Londonderry","Outwards",0,0,0,0,0,0,0
"Total Units","2020Q1","Warrenpoint","Inwards",0,0,0,2.12414877,10.86732777,3.068934581,16.06041112
"Total Units","2020Q1","Warrenpoint","Outwards",0,0,0,1.890241271,9.954261994,0.214909725,12.05941299
"Total Units","2020Q2","Belfast","Inwards",0,0,0,12.05081434,58.728,16.024,86.80281434
"Total Units","2020Q2","Belfast","Outwards",0,0,0,13.11284152,61.111,13.91413498,88.1379765
"Total Units","2020Q2","Kilroot Power Station Jetty","Inwards",0,0,0,0,0,0,0
"Total Units","2020Q2","Kilroot Power Station Jetty","Outwards",0,0,0,0,0,0,0
"Total Units","2020Q2","Larne","Inwards",0,0,0,0,18.642,2.528,21.17
"Total Units","2020Q2","Larne","Outwards",0,0,0,0,15.861,2.442,18.303
"Total Units","2020Q2","Londonderry","Inwards",0,0,0,0,0,0,0
"Total Units","2020Q2","Londonderry","Outwards",0,0,0,0,0,0,0
"Total Units","2020Q2","Warrenpoint","Inwards",0,0,0,2.345732483,9.705445172,1.204344046,13.2555217
"Total Units","2020Q2","Warrenpoint","Outwards",0,0,0,2.113051337,9.009193759,0.088441818,11.21068692
"Total Units","2020Q3","Belfast","Inwards",0,0,0,13.35184763,72.136,59.804,145.2918476
"Total Units","2020Q3","Belfast","Outwards",0,0,0,13.21629913,71.477,51.05178537,135.7450845
"Total Units","2020Q3","Kilroot Power Station Jetty","Inwards",0,0,0,0,0,0,0
"Total Units","2020Q3","Kilroot Power Station Jetty","Outwards",0,0,0,0,0,0,0
"Total Units","2020Q3","Larne","Inwards",0,0,0,0,25.093,13.352,38.445
