"Statistic","Academic year","Local Government District","Attainment","Free school meal entitled","Not free school meal entitled","All persons"
"Number of school leavers","2014/15","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",83,978,1061
"Number of school leavers","2014/15","Antrim and Newtownabbey","Total leavers",234,1354,1588
"Number of school leavers","2014/15","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",84,767,851
"Number of school leavers","2014/15","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",124,1038,1162
"Number of school leavers","2014/15","Armagh City, Banbridge and Craigavon","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",140,1109,1249
"Number of school leavers","2014/15","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",332,1608,1940
"Number of school leavers","2014/15","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",222,1408,1630
"Number of school leavers","2014/15","Armagh City, Banbridge and Craigavon","Total leavers",512,1881,2393
"Number of school leavers","2014/15","Belfast","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",236,1139,1375
"Number of school leavers","2014/15","Belfast","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",357,1495,1852
"Number of school leavers","2014/15","Belfast","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",447,1658,2105
"Number of school leavers","2014/15","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",754,2038,2792
"Number of school leavers","2014/15","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",427,1694,2121
"Number of school leavers","2014/15","Belfast","Total leavers",1202,2324,3526
"Number of school leavers","2014/15","Causeway Coast and Glens","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",51,455,506
"Number of school leavers","2014/15","Causeway Coast and Glens","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",89,647,736
"Number of school leavers","2014/15","Causeway Coast and Glens","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",128,715,843
"Number of school leavers","2014/15","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",296,1089,1385
"Number of school leavers","2014/15","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",169,862,1031
"Number of school leavers","2014/15","Causeway Coast and Glens","Total leavers",421,1262,1683
"Number of school leavers","2014/15","Derry City and Strabane","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",156,671,827
"Number of school leavers","2014/15","Derry City and Strabane","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",240,862,1102
"Number of school leavers","2014/15","Derry City and Strabane","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",307,962,1269
"Number of school leavers","2014/15","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",564,1203,1767
"Number of school leavers","2014/15","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",347,1016,1363
"Number of school leavers","2014/15","Derry City and Strabane","Total leavers",800,1355,2155
"Number of school leavers","2014/15","Fermanagh and Omagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",84,507,591
"Number of school leavers","2014/15","Fermanagh and Omagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",116,704,820
"Number of school leavers","2014/15","Fermanagh and Omagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",144,756,900
"Number of school leavers","2014/15","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",230,969,1199
"Number of school leavers","2014/15","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",163,846,1009
"Number of school leavers","2014/15","Fermanagh and Omagh","Total leavers",339,1116,1455
"Number of school leavers","2014/15","Lisburn and Castlereagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",28,700,728
"Number of school leavers","2014/15","Lisburn and Castlereagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",51,924,975
"Number of school leavers","2014/15","Lisburn and Castlereagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",59,990,1049
"Number of school leavers","2014/15","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",111,1272,1383
"Number of school leavers","2014/15","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",75,1112,1187
"Number of school leavers","2014/15","Lisburn and Castlereagh","Total leavers",176,1436,1612
"Number of school leavers","2014/15","Mid and East Antrim","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",36,627,663
"Number of school leavers","2014/15","Mid and East Antrim","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",70,843,913
"Number of school leavers","2014/15","Mid and East Antrim","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",83,886,969
"Number of school leavers","2014/15","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",160,1229,1389
"Number of school leavers","2014/15","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",103,1042,1145
"Number of school leavers","2014/15","Mid and East Antrim","Total leavers",252,1439,1691
"Number of school leavers","2014/15","Mid Ulster","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",117,636,753
