"Statistic","Academic year","Local Government District","Attainment","Free school meal entitled","Not free school meal entitled","All persons"
"Number of school leavers","2015/16","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",272,1471,1743
"Number of school leavers","2015/16","Armagh City, Banbridge and Craigavon","Total leavers",624,1985,2609
"Number of school leavers","2015/16","Belfast","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",298,1127,1425
"Number of school leavers","2015/16","Belfast","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",463,1457,1920
"Number of school leavers","2015/16","Belfast","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",567,1593,2160
"Number of school leavers","2015/16","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",946,1972,2918
"Number of school leavers","2015/16","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",582,1692,2274
"Number of school leavers","2015/16","Belfast","Total leavers",1402,2293,3695
"Number of school leavers","2015/16","Causeway Coast and Glens","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",84,605,689
"Number of school leavers","2015/16","Causeway Coast and Glens","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",121,819,940
"Number of school leavers","2015/16","Causeway Coast and Glens","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",141,873,1014
"Number of school leavers","2015/16","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",324,1280,1604
"Number of school leavers","2015/16","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",206,1086,1292
"Number of school leavers","2015/16","Causeway Coast and Glens","Total leavers",465,1434,1899
"Number of school leavers","2015/16","Derry City and Strabane","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",170,661,831
"Number of school leavers","2015/16","Derry City and Strabane","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",293,905,1198
"Number of school leavers","2015/16","Derry City and Strabane","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",325,963,1288
"Number of school leavers","2015/16","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",562,1189,1751
"Number of school leavers","2015/16","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",394,1070,1464
"Number of school leavers","2015/16","Derry City and Strabane","Total leavers",834,1314,2148
"Number of school leavers","2015/16","Fermanagh and Omagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",93,453,546
"Number of school leavers","2015/16","Fermanagh and Omagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",132,612,744
"Number of school leavers","2015/16","Fermanagh and Omagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",154,668,822
"Number of school leavers","2015/16","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",236,850,1086
"Number of school leavers","2015/16","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",186,744,930
"Number of school leavers","2015/16","Fermanagh and Omagh","Total leavers",368,968,1336
"Number of school leavers","2015/16","Lisburn and Castlereagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",44,671,715
"Number of school leavers","2015/16","Lisburn and Castlereagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",68,919,987
"Number of school leavers","2015/16","Lisburn and Castlereagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",80,970,1050
"Number of school leavers","2015/16","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",168,1258,1426
"Number of school leavers","2015/16","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",119,1155,1274
"Number of school leavers","2015/16","Lisburn and Castlereagh","Total leavers",230,1405,1635
"Number of school leavers","2015/16","Mid and East Antrim","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",48,545,593
"Number of school leavers","2015/16","Mid and East Antrim","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",71,727,798
"Number of school leavers","2015/16","Mid and East Antrim","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",87,782,869
"Number of school leavers","2015/16","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",181,1087,1268
"Number of school leavers","2015/16","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",128,936,1064
"Number of school leavers","2015/16","Mid and East Antrim","Total leavers",289,1267,1556
"Number of school leavers","2015/16","Mid Ulster","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",125,637,762
"Number of school leavers","2015/16","Mid Ulster","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",189,824,1013
"Number of school leavers","2015/16","Mid Ulster","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",211,888,1099
"Number of school leavers","2015/16","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",362,1246,1608
"Number of school leavers","2015/16","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",245,997,1242
"Number of school leavers","2015/16","Mid Ulster","Total leavers",501,1381,1882
"Number of school leavers","2015/16","Newry, Mourne and Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",136,834,970
"Number of school leavers","2015/16","Newry, Mourne and Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",215,1099,1314
"Number of school leavers","2015/16","Newry, Mourne and Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",262,1188,1450
"Number of school leavers","2015/16","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",449,1568,2017
"Number of school leavers","2015/16","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",315,1375,1690
"Number of school leavers","2015/16","Newry, Mourne and Down","Total leavers",658,1782,2440
"Number of school leavers","2015/16","Ards and North Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",53,645,698
"Number of school leavers","2015/16","Ards and North Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",76,856,932
"Number of school leavers","2015/16","Ards and North Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",92,934,1026
"Number of school leavers","2015/16","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",170,1273,1443
"Number of school leavers","2015/16","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",124,1125,1249
"Number of school leavers","2015/16","Ards and North Down","Total leavers",284,1465,1749
"Number of school leavers","2015/16","Northern Ireland","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",1193,7549,8742
"Number of school leavers","2015/16","Northern Ireland","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",1851,10073,11924
"Number of school leavers","2015/16","Northern Ireland","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",2184,10853,13037
"Number of school leavers","2015/16","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",3940,14642,18582
"Number of school leavers","2015/16","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",2677,12716,15393
"Number of school leavers","2015/16","Northern Ireland","Total leavers",5973,16773,22746
"Number of school leavers","2016/17","Antrim and Newtownabbey","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",58,555,613
"Number of school leavers","2016/17","Antrim and Newtownabbey","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",77,736,813
"Number of school leavers","2016/17","Antrim and Newtownabbey","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",92,774,866
"Number of school leavers","2016/17","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",176,1055,1231
"Number of school leavers","2016/17","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",123,919,1042
"Number of school leavers","2016/17","Antrim and Newtownabbey","Total leavers",285,1207,1492
"Number of school leavers","2016/17","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",96,836,932
"Number of school leavers","2016/17","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",144,1109,1253
"Number of school leavers","2016/17","Armagh City, Banbridge and Craigavon","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",161,1174,1335
"Number of school leavers","2016/17","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",366,1712,2078
"Number of school leavers","2016/17","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",274,1516,1790
"Number of school leavers","2016/17","Armagh City, Banbridge and Craigavon","Total leavers",581,1973,2554
"Number of school leavers","2016/17","Belfast","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",303,1070,1373
"Number of school leavers","2016/17","Belfast","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",447,1392,1839
"Number of school leavers","2016/17","Belfast","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",534,1509,2043
"Number of school leavers","2016/17","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",922,1903,2825
"Number of school leavers","2016/17","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",569,1597,2166
"Number of school leavers","2016/17","Belfast","Total leavers",1309,2112,3421
"Number of school leavers","2016/17","Causeway Coast and Glens","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",99,581,680
"Number of school leavers","2016/17","Causeway Coast and Glens","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",139,747,886
"Number of school leavers","2016/17","Causeway Coast and Glens","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",154,784,938
"Number of school leavers","2016/17","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",321,1164,1485
"Number of school leavers","2016/17","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",190,976,1166
"Number of school leavers","2016/17","Causeway Coast and Glens","Total leavers",450,1284,1734
"Number of school leavers","2016/17","Derry City and Strabane","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",209,600,809
"Number of school leavers","2016/17","Derry City and Strabane","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",323,787,1110
"Number of school leavers","2016/17","Derry City and Strabane","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",359,836,1195
"Number of school leavers","2016/17","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",562,1121,1683
"Number of school leavers","2016/17","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",424,993,1417
"Number of school leavers","2016/17","Derry City and Strabane","Total leavers",794,1251,2045
"Number of school leavers","2016/17","Fermanagh and Omagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",104,537,641
"Number of school leavers","2016/17","Fermanagh and Omagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",152,693,845
"Number of school leavers","2016/17","Fermanagh and Omagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",169,746,915
